Horodateur,"En temps normal, à quelle fréquence utilisez-vous les transports en commun ?","En temps normal, à quelle(s) heure(s) utilisez-vous les transports en commun ?",Dans quel cadre prenez-vous majoritairement les transports en commun ?,Quels types de transports en commun utilisez-vous ?,Quel temps passez-vous en moyenne dans les transports en commun par jour ?,Ressentez-vous de l'insécurité en prenant les transports en commun ?,"Si oui,  à quelle(s) heure(s) ?",Avez-vous déjà été témoins de comportements correspondant à cette définition du harcèlement ?,Avez-vous déjà subi du harcèlement dans les transports en commun ?,"Si oui, est-ce-que cette expérience a entrainé un ou plusieurs changements de comportement de votre part ?","Si oui, avez-vous été victime de violences physiques en lien avec ce harcèlement ? ",Connaissez-vous le dispositif Alerte 3117 ?,"Si oui, l'avez-vous déjà utilisé ?",Pensez-vous que le dispositif Alerte 3117 soit une solution efficace dans les situations de harcèlement sexuel ou sexiste ?,Pourquoi ?,Connaissez-vous l'arrêt à la demande ?,"Si oui, l'avez-vous déjà utilisé ?",Pensez-vous que le dispositif d'arrêt à la demande soit une solution efficace pour éviter le harcèlement sexuel ou sexiste ?,Pourquoi ?,"Selon-vous, à quel point cette campagne de communication est-elle efficace pour lutter contre le harcèlement dans les transports en commun ?",Pourquoi ?,Quel est votre genre ?,Quel est votre âge ?,Quelle est votre catégorie socio-professionnelle ?,Dans quelle ville habitez-vous ?,
2022/01/27 4:54:38 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens;Bus, car (nuit)",Entre 1 heure et 2 heures,2,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)","Non, jamais","Oui, à plusieurs reprises",Modification du style vestimentaire;Favorisation de l'usage des transports en groupe,Non,Oui,Non,3,Les gens ne réagissent pas. ,Non,Non,3,,1,,Féminin,18 - 25 ans,Agriculteur·es exploitant·es,Paris,
2022/01/27 4:56:09 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways",Entre 30 minutes et 1 heure,4,Le soir (après 19h30),"Oui, à plusieurs reprises","Non, jamais",Changement de siège ou de wagon en cas de sentiment d'insécurité,Non,Non,Non,1,,Oui,Non,4,,2,,Masculin,18 - 25 ans,Étudiant·e,St Ouen sur Seine,
2022/01/27 4:57:00 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens",Plus de 2 heures,9,Le soir (après 19h30),"Oui, à plusieurs reprises","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité;Favorisation de l'usage des transports en groupe,Non,Oui,Non,2,,Non,Non,2,,1,,Féminin,18 - 25 ans,Étudiant·e,93,
2022/01/27 5:13:14 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;Bus, car (jour);Bus, car (nuit)",Entre 1 heure et 2 heures,4,,"Oui, à plusieurs reprises","Non, jamais",,,Non,,3,,Non,,4,,3,,Masculin,18 - 25 ans,Étudiant·e,Villejuif,
2022/01/27 5:16:23 PM UTC+1,2 à 3 fois par semaine,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)","Déplacements liés à la vie quotidienne (courses, loisirs...)","Métros, tramways;Trains longue distance (intercités, TGV)",Moins de 30 minutes,3,,"Oui, une seule fois","Non, jamais",Changement de siège ou de wagon en cas de sentiment d'insécurité,Non,Non,Non,3,,Non,Non,3,,3,,Féminin,18 - 25 ans,Étudiant·e,Paris,
2022/01/27 5:20:28 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;Bus, car (jour)",Moins de 30 minutes,6,Tôt le matin (5h - 7h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30),"Non, jamais","Non, jamais",,Non,Oui,Non,4,,Non,Non,2,,5,,Féminin,18 - 25 ans,Étudiant·e,Paris,
2022/01/27 5:20:56 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30)",Déplacements scolaires/professionnels,"Métros, tramways",Moins de 30 minutes,8,,"Oui, une seule fois","Non, jamais",,,Non,,3,,Non,,4,,3,,Masculin,18 - 25 ans,Étudiant·e,Paris XI,
2022/01/27 5:29:49 PM UTC+1,Tous les jours,"Tôt le matin (5h - 7h30);Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens;Bus, car (jour);Bus, car (nuit)",Plus de 2 heures,9,"Tôt le matin (5h - 7h30);Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)","Oui, fréquemment","Oui, fréquemment",Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire,Oui et je n'ai pas porté plainte,Oui,Non,2,"Si je suis la victime, j'évite de sortir mon téléphone pour ne pas énerver l'agresseur.",Oui,Non,4,"Oui, bien qu'on n'ose pas souvent l'utiliser.",3,C'est toujours bien d'en parler mais ça ne change pas grand-chose au fait que les gens ne soient pas toujours partants pour aider une victime et que la victime ne puisse pas toujours composer le numéro,Féminin,18 - 25 ans,Étudiant·e,Paris,
2022/01/27 5:43:15 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens",Entre 1 heure et 2 heures,5,Le soir (après 19h30),"Oui, fréquemment","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire,Oui et je n'ai pas porté plainte,Non,Non,2,"Le temps que la solution arrive, j'ai été déjà victime de l'harcèlement.",Non,Non,2,,2,Je pense qu'il faut des mesures plus sévères contre les harceleurs.,Féminin,26 - 35 ans,Étudiant·e,Chelles,
2022/01/27 5:47:58 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens",Entre 30 minutes et 1 heure,1,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)","Non, jamais","Non, jamais",,,Non,,2,Je vois mal ce qu'un agent au téléphone peut faire dans pareille situation... Si le but est que la victime se donne une contenance en étant au téléphone je ne pense pas qu'elle pensera à appeler un.e inconnu.e. Et je ne vois pas tant d'autre utilité.,Non,,3,"Si la personne a peur de se faire agresser dans la rue, pourquoi pas. Si la personne est déjà en train d'être agressée, c'est dangereux, car cela montre à l'agresseur où la victime habite, ce qui n'est pas forcément une bonne solution.",3,"Elle peut être efficace pour sensibiliser, en effet.... mais souvent les agresseurs sont soit des gens qui ne se rendent pas compte que ce qu'ils font peut être perçus comme des agressions ; ou alors ce sont de purs psychopathes qui ne vont pas changer leur comportement pour quelques affiches.
Je pense que c'est plus efficace du côté des victimes, pour se faire aider après une agression, voire pendant... mais ça ne coupe pas le mal à la racine.",Féminin,18 - 25 ans,Étudiant·e,Gentilly,
2022/01/27 5:48:09 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;Bus, car (nuit)",Entre 30 minutes et 1 heure,2,,"Oui, à plusieurs reprises","Non, jamais",,Non,Oui,Non,1,"Pas de présence physique d'un agent, peu de personnes le feront en direct de l'agression",Oui,Non,1,L'idée est bonne mais en pratique arrêt à la demande = signifier qu'on descend au prochain arrêt et qu'il faut que le chauffeur du noctilien marque l'arrêt,3,Informer sur les dispositifs mis en place mais dispositifs peu efficaces,Masculin,18 - 25 ans,Étudiant·e,Paris ,
2022/01/27 5:52:51 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens",Entre 30 minutes et 1 heure,6,Le soir (après 19h30),"Oui, à plusieurs reprises","Non, jamais",Favorisation de l'usage des transports en groupe,Non,Non,Non,3,,Non,Non,3,,2,,Féminin,18 - 25 ans,Étudiant·e,Paris,
2022/01/27 6:10:45 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways",Entre 30 minutes et 1 heure,6,Le soir (après 19h30),"Oui, à plusieurs reprises","Oui, une seule fois",Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire,Non,Non,Non,3,,Non,Non,3,,4,,Féminin,18 - 25 ans,Étudiant·e,Paris ,
2022/01/27 6:20:12 PM UTC+1,2 à 3 fois par semaine,Heures creuses (9h30 - 16h30);Le soir (après 19h30),"Déplacements liés à la vie quotidienne (courses, loisirs...)","Métros, tramways;Bus, car (jour)",Moins de 30 minutes,6,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)","Oui, fréquemment","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire,Non,Non,Non,2,Il faut agir sur le moment. ,Oui,Non,4,Ça ne réduit le temps de trajet seule et donc les chances de croiser du monde mal intentionné. Je pense que ça fait surtout baisser l’angoisse des femmes seules la nuit. ,3,,Féminin,18 - 25 ans,Étudiant·e,Rennes,
2022/01/27 6:26:02 PM UTC+1,2 à 3 fois par semaine,Heures creuses (9h30 - 16h30);Le soir (après 19h30),"Déplacements liés à la vie quotidienne (courses, loisirs...)","Métros, tramways;Trains longue distance (intercités, TGV)",Moins de 30 minutes,5,Le soir (après 19h30),"Non, jamais","Non, jamais",,,Non,,4,,Oui,Non,2,Le harceler peut demander à s'arrêter aussi. ,4,L'image est frappante.,Féminin,18 - 25 ans,Étudiant·e,Paris,
2022/01/27 6:27:14 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30)",Déplacements scolaires/professionnels,"Métros, tramways",Moins de 30 minutes,5,,"Non, jamais","Non, jamais",,,Oui,Non,2,,Oui,Non,4,,2,,Masculin,18 - 25 ans,Étudiant·e,Paris,
2022/01/27 7:06:52 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens;Bus, car (jour)",Entre 1 heure et 2 heures,6,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)","Oui, une seule fois","Non, jamais",,Non,Oui,Non,2,Impossible d'intervenir en urgence (prévenir une régis alors que le véhicule circule ne permet pas d'interrompre ces comportements : heureusement que les autres passagers s'interposent parfois).,Oui,Non,2,"Idem, s'arrêter ne changera hélas rien à l'agression/harcèlement en cours, sauf intervention rapide des personnels à proximité (si autre que le seul conducteur du train/bus).",3,Utile de sensibiliser les publics mais ce genre d'initiatives n'est pas suffisant.,Masculin,18 - 25 ans,Étudiant·e,Verneuil-sur-Seine,
2022/01/27 7:13:57 PM UTC+1,2 à 3 fois par semaine,Heures creuses (9h30 - 16h30),"Déplacements liés à la vie quotidienne (courses, loisirs...)","Métros, tramways;TER, transiliens;Trains longue distance (intercités, TGV)",Moins de 30 minutes,2,Heures creuses (9h30 - 16h30),"Oui, à plusieurs reprises","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité;Favorisation de l'usage des transports en groupe,Non,Non,,2,"Je ne suis pas certaine de l'efficacité, appeler le 3117 n'est pas un réflexe naturel, surtout dans ce genre de situation. ",Oui,Non,3,Je pense que cela peut réduire un trajet à pieds potentiellement dangereux ,2,"Elle parle aux victimes, pas sûr qu'il en soit autant pour les harceleurs ",Féminin,18 - 25 ans,Étudiant·e,Paris,
2022/01/27 7:16:02 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways",Entre 30 minutes et 1 heure,1,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)","Oui, à plusieurs reprises","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire,Non,Oui,Non,3,"Je pense que cela part d'une bonne intention mais qu'on en parle peu, et que les gens témoins font semblant de ne rien voir ou ne savent pas comment réagir. ",Oui,Non,3,"Je pense que c'est un solution efficace, même si le danger n'est pas forcément plus important à l'extérieur du bus, au contraire. J'ai déjà subi une situation de harcèlement sexuel par le propre contrôleur de mon noctilien. ",3,"Je la trouve efficace, mais elle ne devrait pas être simplement présente dans les stations de métro. Je sais que pour ma part, je ne lis même plus les panneaux ou les publicités, je ne suis pas sûre de la retenir et de porter mon attention sur elle si je la vois. ",Féminin,18 - 25 ans,Étudiant·e,Paris,
2022/01/27 7:18:18 PM UTC+1,2 à 3 fois par semaine,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;Bus, car (jour);Bus, car (nuit)",Moins de 30 minutes;Entre 30 minutes et 1 heure,1,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)","Non, jamais","Non, jamais",,,Non,,1,,Non,,1,,1,,Je ne me reconnais pas dans ces catégories,18 - 25 ans,Étudiant·e,Paris,
2022/01/27 7:18:20 PM UTC+1,2 à 3 fois par mois,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;Bus, car (jour)",Entre 30 minutes et 1 heure,6,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)","Oui, une seule fois","Non, jamais",Changement de siège ou de wagon en cas de sentiment d'insécurité,Non,Non,Non,2,,Non,Non,2,,2,,Féminin,18 - 25 ans,Étudiant·e,Montrouge,
2022/01/27 7:19:08 PM UTC+1,Tous les jours,"Tôt le matin (5h - 7h30);Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;Trains longue distance (intercités, TGV);Bus, car (jour);Bus, car (nuit)",Entre 1 heure et 2 heures,3,"Tôt le matin (5h - 7h30);Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30)","Oui, à plusieurs reprises","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire;Favorisation de l'usage des transports en groupe,Non,Oui,Non,3,,Oui,Non,2,Chauffeurs réticents à faire l'effort,2,,Féminin,18 - 25 ans,Étudiant·e,Paris,
2022/01/27 7:19:49 PM UTC+1,2 à 3 fois par semaine,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)","Déplacements liés à la vie quotidienne (courses, loisirs...)","Métros, tramways;TER, transiliens",Moins de 30 minutes,6,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)","Oui, à plusieurs reprises","Non, jamais",,,Non,Non,1,,Non,Non,3,,3,,Masculin,18 - 25 ans,Étudiant·e,Orléans la Source,
2022/01/27 7:20:37 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways",Entre 30 minutes et 1 heure,6,Le soir (après 19h30),"Non, jamais","Non, jamais",,,Non,Non,2,"Difficile d'intervenir assez rapidement. 
",Oui,Non,4,Permet de s'éloigner directement de l'agresseur. ,2,"Présente les agresseurs comme des monstres alors que cela concerne tous type de personnes très ""lambdas""",Féminin,18 - 25 ans,Étudiant·e,Paris,
